0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Blake Wilkinson,Brown,Ivy,7,1.3,66.7,12.4,0,25.6,8.4,9.3,11.8,31.9,1,2,0.5,0,1,0,0,0,0,0,0,200,Jr,6-7,23,-0.197954,58.4171,2.9,2017,19736,all,,0.39992801,0,0,0,1,,0,0,0,
Stilman White,North Carolina,ACC,26,5.7,133.8,14.6,52.6,64.3,5.9,7.3,6.8,12.7,13,14,0.929,7,15,0.467,2,4,0.5,0,1.2,73.7,Sr,6-1,30,0.565366,134.538,3.1,2017,20654,all,14,1.6669667,2,5,5,10,0.4,0.5,0,0,
Tracy Abrams,Illinois,B10,34,60.7,105.6,18.7,51.3,53.7,1.1,13.2,17.9,16.2,42,59,0.712,52,116,0.448,47,123,0.382,0.8,2.5,24.7,Sr,6-2,13,1.84807,108.8,3.3,2017,22676,all,87.2,1.84098322,22,40,30,76,0.55,0.3947,0,0,
Ryan Sawvell,Wofford,SC,30,73.8,112,16.3,54.4,57.2,8,18.4,11.5,17.5,44,60,0.733,77,144,0.535,23,61,0.377,0.7,0.7,29.3,Sr,6-8,35,2.12689,107.293,2.8,2017,22820,all,,1.31116163,53,81,24,63,0.6543,0.381,6,6,1
Michael Orris,South Dakota St.,Sum,24,54.2,100.8,18,50.7,54.4,1.7,5.4,25.2,25.3,46,68,0.676,65,129,0.504,6,17,0.353,0.2,1.4,46.6,Sr,6-3,50,1.01743,96.6805,3.6,2017,24031,all,37,1.66665263,59,105,6,24,0.5619,0.25,0,0,
Paul Baxter,Sam Houston St.,Slnd,29,62.2,98.2,16.4,42.9,48.9,2.7,11,12.7,16.2,68,101,0.673,57,118,0.483,12,57,0.211,0.9,2.7,57.7,Sr,6-2,21,0.354145,90.8903,5.1,2017,24051,all,,1.65792445,44,79,13,39,0.557,0.3333,5,6,0.8333
Tyler Self,Kansas,B12,15,2,73.9,31.5,40,45.7,4,7.3,27.3,42.6,2,2,1,1,4,0.25,2,6,0.333,0,0,20,Sr,6-2,20,0.0316781,91.6784,2.8,2017,24155,all,,0.71416327,0,0,1,4,,0.25,0,0,
Steven Davis,Wright St.,Horz,30,71.2,108.9,23.3,55.9,59,7.1,10.9,8.3,17,77,102,0.755,108,192,0.563,48,130,0.369,1.8,0.8,31.7,Sr,6-8,0,2.54835,112.542,4.2,2017,24178,all,,0.48484848,83,126,25,66,0.6587,0.3788,18,20,0.9
Trey Kellum,Southeast Missouri St.,OVC,27,53.4,107.4,24.8,53.4,58.5,13.1,18.1,4.8,17.9,92,128,0.719,110,206,0.534,0,0,0,1.7,1.8,62.1,Sr,6-7,13,2.01921,110.54,5.8,2017,24188,all,,0.27776626,61,91,49,115,0.6703,0.4261,6,8,0.75
Justin Seymour,Georgia St.,SB,13,17.8,94.4,20.4,47.9,49.5,3.8,7.7,10.2,20.2,8,12,0.667,15,33,0.455,13,39,0.333,0,1.6,16.7,Sr,6-3,20,0.461976,94.7721,3.4,2017,24215,all,57,0.83333333,4,13,11,20,0.3077,0.55,1,1,1
Connor Perkey,Davidson,A10,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-8,34,-0.194217,-25,0,2017,24262,all,,,,,,,,,,,
